timestamp_s,time_hms,active_containers,memory_mb,utilization_percent
39990,11:06:30,3,4094.5,99.96
40020,11:07:00,3,4094.5,99.96
40050,11:07:30,3,4094.5,99.96
40080,11:08:00,3,4094.5,99.96
40110,11:08:30,3,4094.5,99.96
40140,11:09:00,3,4094.5,99.96
40170,11:09:30,3,4094.5,99.96
40200,11:10:00,3,4094.5,99.96
40230,11:10:30,3,4094.5,99.96
40260,11:11:00,3,4094.5,99.96
40290,11:11:30,3,4094.5,99.96
40320,11:12:00,3,4094.5,99.96
40350,11:12:30,3,4094.5,99.96
40380,11:13:00,3,4094.5,99.96
40410,11:13:30,3,4094.5,99.96
40440,11:14:00,3,4094.5,99.96
40470,11:14:30,3,4094.5,99.96
40500,11:15:00,3,4094.5,99.96
40530,11:15:30,3,4094.5,99.96
40560,11:16:00,3,4094.5,99.96
40590,11:16:30,3,4094.5,99.96
40620,11:17:00,3,4094.5,99.96
40650,11:17:30,3,4094.5,99.96
40680,11:18:00,3,4094.5,99.96
40710,11:18:30,3,4094.5,99.96
40740,11:19:00,3,4094.5,99.96
40770,11:19:30,3,4094.5,99.96
40800,11:20:00,3,4094.5,99.96
40830,11:20:30,3,4094.5,99.96
40860,11:21:00,3,4094.5,99.96
40890,11:21:30,3,4094.5,99.96
40920,11:22:00,3,4094.5,99.96
40950,11:22:30,3,4094.5,99.96
40980,11:23:00,3,4094.5,99.96
41010,11:23:30,3,4094.5,99.96
41040,11:24:00,3,4094.5,99.96
41070,11:24:30,3,4094.5,99.96
41100,11:25:00,3,4094.5,99.96
41130,11:25:30,3,4094.5,99.96
41160,11:26:00,3,4094.5,99.96
41190,11:26:30,3,4094.5,99.96
41220,11:27:00,3,4094.5,99.96
41250,11:27:30,3,4094.5,99.96
41280,11:28:00,3,4094.5,99.96
41310,11:28:30,3,4094.5,99.96
41340,11:29:00,3,4094.5,99.96
41370,11:29:30,3,4094.5,99.96
41400,11:30:00,3,4094.5,99.96
41430,11:30:30,3,4094.5,99.96
41460,11:31:00,3,4094.5,99.96
41490,11:31:30,3,4094.5,99.96
41520,11:32:00,3,4094.5,99.96
41550,11:32:30,3,4094.5,99.96
41580,11:33:00,3,4094.5,99.96
41610,11:33:30,3,4094.5,99.96
41640,11:34:00,3,4094.5,99.96
41670,11:34:30,3,4094.5,99.96
41700,11:35:00,3,4094.5,99.96
41730,11:35:30,3,4094.5,99.96
41760,11:36:00,3,4094.5,99.96
41790,11:36:30,3,4094.5,99.96
41820,11:37:00,3,4094.5,99.96
41850,11:37:30,3,4094.5,99.96
41880,11:38:00,3,4094.5,99.96
41910,11:38:30,3,4094.5,99.96
41940,11:39:00,3,4094.5,99.96
41970,11:39:30,3,4094.5,99.96
42000,11:40:00,3,4094.5,99.96
42030,11:40:30,3,4094.5,99.96
42060,11:41:00,3,4094.5,99.96
42090,11:41:30,3,4094.5,99.96
42120,11:42:00,3,4094.5,99.96
42150,11:42:30,3,4094.5,99.96
42180,11:43:00,3,4094.5,99.96
42210,11:43:30,3,4094.5,99.96
42240,11:44:00,3,4094.5,99.96
42270,11:44:30,3,4094.5,99.96
42300,11:45:00,3,4094.5,99.96
42330,11:45:30,3,4094.5,99.96
42360,11:46:00,3,4094.5,99.96
42390,11:46:30,3,4094.5,99.96
42420,11:47:00,3,4094.5,99.96
42450,11:47:30,3,4094.5,99.96
42480,11:48:00,3,4094.5,99.96
42510,11:48:30,3,4094.5,99.96
42540,11:49:00,3,4094.5,99.96
42570,11:49:30,3,4094.5,99.96
42600,11:50:00,3,4094.5,99.96
42630,11:50:30,3,4094.5,99.96
42660,11:51:00,3,4094.5,99.96
42690,11:51:30,3,4094.5,99.96
42720,11:52:00,3,4094.5,99.96
42750,11:52:30,3,4094.5,99.96
42780,11:53:00,3,4094.5,99.96
42810,11:53:30,3,4094.5,99.96
42840,11:54:00,3,4094.5,99.96
42870,11:54:30,3,4094.5,99.96
42900,11:55:00,3,4094.5,99.96
42930,11:55:30,3,4094.5,99.96
42960,11:56:00,3,4094.5,99.96
42990,11:56:30,3,4094.5,99.96
43020,11:57:00,3,4094.5,99.96
43050,11:57:30,3,4094.5,99.96
43080,11:58:00,3,4094.5,99.96
43110,11:58:30,3,4094.5,99.96
43140,11:59:00,3,4094.5,99.96
43170,11:59:30,3,4094.5,99.96
43200,12:00:00,3,4094.5,99.96
43230,12:00:30,3,4094.5,99.96
43260,12:01:00,3,4094.5,99.96
43290,12:01:30,3,4094.5,99.96
43320,12:02:00,3,4094.5,99.96
43350,12:02:30,3,4094.5,99.96
43380,12:03:00,3,4094.5,99.96
43410,12:03:30,3,4094.5,99.96
43440,12:04:00,3,4094.5,99.96
43470,12:04:30,3,4094.5,99.96
43500,12:05:00,3,4094.5,99.96
43530,12:05:30,3,4094.5,99.96
43560,12:06:00,3,4094.5,99.96
43590,12:06:30,3,4094.5,99.96
43620,12:07:00,3,4094.5,99.96
43650,12:07:30,3,4094.5,99.96
43680,12:08:00,3,4094.5,99.96
43710,12:08:30,3,4094.5,99.96
43740,12:09:00,3,4094.5,99.96
43770,12:09:30,3,4094.5,99.96
43800,12:10:00,3,4094.5,99.96
43830,12:10:30,3,4094.5,99.96
43860,12:11:00,3,4094.5,99.96
43890,12:11:30,3,4094.5,99.96
43920,12:12:00,3,4094.5,99.96
43950,12:12:30,3,4094.5,99.96
43980,12:13:00,3,4094.5,99.96
44010,12:13:30,3,4094.5,99.96
44040,12:14:00,3,4094.5,99.96
44070,12:14:30,3,4094.5,99.96
44100,12:15:00,3,4094.5,99.96
44130,12:15:30,3,4094.5,99.96
44160,12:16:00,3,4094.5,99.96
44190,12:16:30,3,4094.5,99.96
44220,12:17:00,3,4094.5,99.96
44250,12:17:30,3,4094.5,99.96
